Artist,Title,Length
Last Legend,Defeat,0:47
Last Legend,Main Theme,1:20
Last Legend,Overworld,0:55
Last Legend,Princess' Keep,0:42
Last Legend,Dark Sanctum,0:55
Last Legend,Witch's Cavern,1:08
Last Legend,Settlement,0:46
Last Legend,Store,0:54
Last Legend,Seabound Vessel,1:21
Last Legend Graphical Improvement,Preamble,1:48
Last Legend Graphical Improvement,Deepsea Sanctum,3:14
Last Legend Graphical Improvement,Paused,2:16
Last Legend Graphical Improvement,Volcano,3:06
Last Legend Graphical Improvement,Fight,1:38
Last Legend Graphical Improvement,Triumph,0:45
Last Legend Graphical Improvement,Defeat,1:47
Last Legend Graphical Improvement,Main Theme,1:38
Last Legend Graphical Improvement,Closing Melody,5:15
Last Legend Graphical Improvement,Princess' Keep,3:56
Last Legend Graphical Improvement,Overworld,2:25
Last Legend Graphical Improvement,Dark Sanctum,1:55
Last Legend Graphical Improvement,Witch's Cavern,2:58
Last Legend Graphical Improvement,Settlement,2:23
Last Legend Graphical Improvement,Store,2:09
Last Legend Graphical Improvement,Seabound Vessel,2:27
Last Legend 10,Destination,3:01
Last Legend 10,Preamble,3:41
Last Legend 10,Protagonist's Melody,3:30
Last Legend 10,Faster!!,2:37
Last Legend 10,Fight Melody,3:19
Last Legend 10,Triumph,1:31
Last Legend 10,Defeat,0:31
Last Legend 10,Foe's Assault,2:38
Last Legend 10,The Ballers,3:50
Last Legend 10,Tropical Atoll,4:41
Last Legend 10,World Wireless,2:45
Last Legend 10,Melody of Beleaf,0:39
Last Legend 10,Summoner's Theme,3:28
Last Legend 10,Verdant Motion,3:12
Last Legend 10,Peace in Advance of the Disturbance,3:06
Last Legend 10,Sportsball Start!,3:28
Last Legend 10,Cool Guy's Melody,2:42
Last Legend 10,The Main Route,3:19
Last Legend 10,Big Band Bird,2:48
Last Legend 10,Desert Girl's Melody,4:00
Last Legend 10,Lightning Meadows,3:42
Last Legend 10,Dad's Melody,2:29
Last Legend 10,Reality Made Known,4:03
Last Legend 10,Departure,3:23
Last Legend 10,Attack,4:02
Last Legend 10,Path of Penitence,2:24
Last Legend 10,"Nice, Huh?",5:31
Last Legend 10,The Summoner's Choice,3:38
Last Legend 10,Courageous Progress,3:22
Last Legend 10,Folk of High Elevation,4:37
Last Legend 10,A Temporary Illusion,4:20
Last Legend 10,On the Other Side of the Void,4:35
Last Legend 10,Conclusive Fight,3:24
Last Legend 10,Closing Melody,5:26
Last Legend 10,"Nice, Huh? (Symphonic Version)",6:17
Last Legend 14,Power,3:57
Last Legend 14,Broken Seraph,3:47
Last Legend 14,Ascent of the Snowy Bird,2:51
Last Legend 14,Revelations,7:06
Last Legend 14,The Woodland's Heartbeat,3:02
Last Legend 14,Corrupted Forest,3:25
Last Legend 14,Dusk over the Desert,4:09
Last Legend 14,Sand Trap,4:36
Last Legend 14,Main Theme,3:01
Last Legend 14,Banners Held High,3:11
Last Legend 14,Celestials and Mercenaries,3:47
Last Legend 14,Stock & Interest,1:42
Last Legend 14,In a Private Space,3:24
Last Legend 14,Vistas Beckoning,2:49
Last Legend 14,No Mercy,4:03
Last Legend 14,Under Sanguine Standards,2:45
Last Legend 14,Sea Nation's Theme,3:54
Last Legend 14,As Intended,2:18
Last Legend 14,Land's Treasures,2:19
Last Legend 14,When Timber Descends,2:26
Last Legend 14,The Place of the Soul,2:31
Last Legend 14,Sacred Assembly,4:36
Last Legend 14,Independence,2:45
Last Legend 14,Holy Connections,2:54
Last Legend 14,From Within,2:25
Last Legend 14,Ten and Four Paces,3:11
Last Legend 14,Pieces of Eternity,2:19
Last Legend 14,Peacefulness,2:07
Last Legend 14,On Gusty Grasslands,2:41
Last Legend 14,Celestial Changes,4:24
Last Legend 14,Summer Festival,3:20
Last Legend 14,Bird-low,2:51
Last Legend 14,Pin of the Skies,3:14
Last Legend 14,Hymn,1:16
Last Legend 14,The Gloom's Grasp,3:30
Last Legend 14,The Gloom's Touch,3:26
Last Legend 14,In the Shade of the Giant,3:26
Last Legend 14,Adversary,4:51
Last Legend 14,Triumph (Complete),0:38
Last Legend 14,Sea Company,3:07
Last Legend 14,Desert Company,4:31
Last Legend 14,Oscillations in the Water,1:13
Last Legend 14,The Desert's Withholdings,1:28
Last Legend 14,Landbound Feathers,4:12
Last Legend 14,Burning Hole,2:53
Last Legend 14,Septenary Fools,3:00
Last Legend 14,The Traveler's Favor,3:17
Last Legend 14,Shattering Barriers,3:18
Last Legend 14,Detective of Investigation,2:41
Last Legend 14,To the Front,3:00
Last Legend 14,Iron Logic,4:15
Last Legend 14: A World Anew,Preamble - Restoration,1:11
Last Legend 14: A World Anew,Crashing Down,3:17
Last Legend 14: A World Anew,Protector of the World,2:16
Last Legend 14: A World Anew,Schemes,1:29
Last Legend 14: A World Anew,The Conqueror's Habit,3:38
Last Legend 14: A World Anew,Confines,7:14
Last Legend 14: A World Anew,The Creator's Fall,2:52
Last Legend 14: A World Anew,Termina,3:54
Last Legend 14: A World Anew,Airborne,1:13
Last Legend 14: A World Anew,The Septenary Star,5:01
Last Legend 14: A World Anew,Break of a New Age,1:05
Last Legend 14: A World Anew,Coil,2:57
Last Legend 14: A World Anew,Resilience,5:00
Last Legend 14: A World Anew,Arrival of the Warrior,2:13
Last Legend 14: A World Anew,A Realm Away,3:36
Last Legend 14: A World Anew,I Am Water,6:10
Last Legend 14: A World Anew,Blown to the West,5:18
Last Legend 14: A World Anew,Ripped from Above,4:04
Last Legend 14: A World Anew,Brineladen,1:49
Last Legend 14: A World Anew,Comrades in Battle,3:06
Last Legend 14: A World Anew,Mourners and Wheelraces,4:47
Last Legend 14: A World Anew,Bioluminescent Movement,4:19
Last Legend 14: A World Anew,An Excellent Perishing,3:03
Last Legend 14: A World Anew,Triumph Anew (Complete),1:39
Last Legend 14: A World Anew,Optimism Anew,5:32
Last Legend 14: A World Anew,Fight I.x,3:28
Last Legend 14: A World Anew,Solar Bound,6:32
Last Legend 14: A World Anew,From Dread to Strength,4:22
Last Legend 14: A World Anew,Scarlet Dawn,3:55
Last Legend 14: A World Anew,Gravity of a Murmur,1:41
Last Legend 14: A World Anew,Always Gone,2:53
Last Legend 14: A World Anew,Eternal Belief,0:53
Last Legend 14: A World Anew,The Earth Cracks,3:18
Last Legend 14: A World Anew,Chilled Deliverance,0:59
Last Legend 14: A World Anew,Rumbler,3:47
Last Legend 14: A World Anew,More Drinks,2:09
Last Legend 14: A World Anew,Attack,3:34
Last Legend 14: A World Anew,Boundaries Inside,3:26
Last Legend 14: A World Anew,Unable to be Ignored,4:11
Last Legend 14: A World Anew,A Dark Wind Descendeth,2:53
Last Legend 14: A World Anew,Trickery,2:11
Last Legend 14: A World Anew,Arrogance,4:51
Last Legend 14: A World Anew,Ascending Still,4:45
Last Legend 14: A World Anew,Clash on the Large Overpass,4:21
Last Legend 14: A World Anew,Distant from Abode,1:39
Last Legend 14: A World Anew,Stir Out!,2:49
Last Legend 14: A World Anew,Drops for Drop,3:27
Last Legend 14: A World Anew,Now I Understand the Reality,2:01
Last Legend 14: A World Anew,Emerged from the Maze,5:15
Last Legend 14: A World Anew,Broken,5:18
Last Legend 14: A World Anew,A Ray in the Rain,4:59
Last Legend 14: A World Anew,Undercurrent,3:32
Last Legend 14: A World Anew,Footfalls in the White,3:24
Last Legend 14: A World Anew,Cornered Ring,4:07
Last Legend 14: A World Anew,Path to Utopia,3:58
Last Legend 14: A World Anew,Contest of Lords,2:41
Last Legend 14: A World Anew,Crafty,2:59
Last Legend 14: A World Anew,Magical Machinery,3:34
Last Legend 14: A World Anew,Oblivious to the Shadows,5:09
Last Legend 14: A World Anew,Madness of Sin,5:07
Last Legend 14: A World Anew,The Extent of Shadows,4:25
Last Legend 14: A World Anew,Everlasting Breeze,2:37
Last Legend 14: A World Anew,Shining Lamentations,4:55
Last Legend 14: Skybound,Skybound,4:16
Last Legend 14: Skybound,Cover,1:03
Last Legend 14: Skybound,Misplaced in the Skies,4:17
Last Legend 14: Skybound,Gem,3:09
Last Legend 14: Skybound,For the Heavens,4:14
Last Legend 14: Skybound,A Frigid Gale,1:41
Last Legend 14: Skybound,The Palm that Offers the Flower,3:03
Last Legend 14: Skybound,Unbowed Metal,3:50
Last Legend 14: Skybound,Rest Everlasting,4:23
Last Legend 14: Skybound,What is Affection?,1:12
Last Legend 14: Skybound,Conflict,3:16
Last Legend 14: Skybound,Aristocracy Indulges,4:15
Last Legend 14: Skybound,Frozen,5:09
Last Legend 14: Skybound,Evening in the Foggy Depths,5:29
Last Legend 14: Skybound,Misunderstanding,4:51
Last Legend 14: Skybound,The Funguary,2:50
Last Legend 14: Skybound,Into the Gales,2:06
Last Legend 14: Skybound,Scripts Since Written,4:44
Last Legend 14: Skybound,Abode,2:50
Last Legend 14: Skybound,Magic Halt,3:36
Last Legend 14: Skybound,"In the Shadow, a Thing Is",4:19
Last Legend 14: Skybound,Abyssal Reveal,4:41
Last Legend 14: Skybound,Rock and Metal,4:35
Last Legend 14: Skybound,Discipline Still Incomprehensible,4:11
Last Legend 14: Skybound,Indestructible,4:52
Last Legend 14: Skybound,Fantasy,3:39
Last Legend 14: Skybound,Champions Always Survive,3:18
Last Legend 14: Skybound,Champions,3:46
Last Legend 14: Skybound,Dracotune,5:36
Last Legend 14: Skybound,"Transgressions of the Dad, Transgressions of the Boy",2:39
Last Legend 14: Skybound,Position,3:56
Last Legend 14: Skybound,Alloy,2:37
Last Legend 14: Skybound,Grim Portents,4:10
Last Legend 14: Skybound,Dark and Light,2:21
Last Legend 14: Skybound,Aristocracy Slumbers,4:38
Last Legend 14: Skybound,Fight to the Demise (Skybound),4:19
Last Legend 14: Skybound,Balance,2:59
Last Legend 14: Skybound,More Blocks,3:55
Last Legend 14: Skybound,Carapace and Metal,4:20
Last Legend 14: Skybound,Monster,4:00
Last Legend 14: Skybound,Descending the Ascension Steps,4:23
Last Legend 14: Skybound,Doubled Vengeance,4:34
Last Legend 14: Skybound,The Old Metropolis,4:30
Last Legend 14: Skybound,Alloy - Savage Righteousness Form,4:30
Last Legend 14: Skybound,Atonements,4:05
Last Legend 14: Skybound,Nosedive,4:15
Last Legend 14: Skybound,Vengeance of the Masses,3:30
Last Legend 14: Skybound,Weepings in the Precipitation,4:40
Last Legend 14: Skybound,Deluge,4:28
Last Legend 14: Skybound,Super Spectum Omega,1:43
Last Legend 14: Skybound,Waking up Early,2:08
Last Legend 14: Skybound,Earthbound,4:48
Last Legend 14: Skybound,The Fear of Books,4:45
Last Legend 14: Skybound,Growing Decay,2:53
Last Legend 14: Skybound,Topological Structure,4:16
Last Legend 14: Skybound,Ascend,4:16
Last Legend 14: Hemotempest,Hemotempest,3:53
Last Legend 14: Hemotempest,The Empire's Version of the Canyon Nation's Theme,2:12
Last Legend 14: Hemotempest,Duskflower,4:15
Last Legend 14: Hemotempest,Folly,2:41
Last Legend 14: Hemotempest,Errant Child,5:09
Last Legend 14: Hemotempest,Let Us Go Forth in Harmony,2:16
Last Legend 14: Hemotempest,Success,3:15
Last Legend 14: Hemotempest,Red Dawn,4:58
Last Legend 14: Hemotempest,Birthplace,2:41
Last Legend 14: Hemotempest,Uproar,1:28
Last Legend 14: Hemotempest,A Dad's Dignity,2:50
Last Legend 14: Hemotempest,Submerged in the Vista,1:58
Last Legend 14: Hemotempest,Blue's Melody,4:17
Last Legend 14: Hemotempest,Collision,4:35
Last Legend 14: Hemotempest,Champions of Hemotempest,4:33
Last Legend 14: Hemotempest,A Mom's Dignity,3:03
Last Legend 14: Hemotempest,Doors of the Lunar Body,4:49
Last Legend 14: Hemotempest,Separating Paths,1:31
Last Legend 14: Hemotempest,Red Dusk,4:29
Last Legend 14: Hemotempest,Mendacity,4:03
Last Legend 14: Hemotempest,Allure's Sinister Cunning,2:42
Last Legend 14: Hemotempest,The Rock Recalls,2:08
Last Legend 14: Hemotempest,Past the Barrier,3:29
Last Legend 14: Hemotempest,Foreign,3:12
Last Legend 14: Hemotempest,Aged Injuries,3:29
Last Legend 14: Hemotempest,Tunes of Salinity and Pain,4:34
Last Legend 14: Hemotempest,Freedom or Demise,3:07
Last Legend 14: Hemotempest,The Dragon's Rear,4:42
Last Legend 14: Hemotempest,Uprisings,7:04
Last Legend 14: Hemotempest,Z Squared,4:34
Last Legend 14: Hemotempest,Choices,5:20
Last Legend 14: Hemotempest,Circling the Furthest Edge,2:58
Last Legend 14: Hemotempest,"The End, Or Not",4:02
Last Legend 14: Hemotempest,Passage Illuminated by the Night Sky,2:53
Last Legend 14: Hemotempest,Distant from Abode,4:19
Last Legend 14: Hemotempest,Unconquerable,4:01
Last Legend 14: Hemotempest,Opposing Feathers,4:54
Last Legend 14: Hemotempest,Glimmer,4:33
Last Legend 14: Hemotempest,The People's Dangerous Quest,4:32
Last Legend 14: Hemotempest,Protectors of the Latch,3:50
Last Legend 14: Hemotempest,Indestructible (Dual Aspected),3:57
Last Legend 14: Hemotempest,A Fight Conclusively,4:10
Last Legend 14: Hemotempest,Prancing Insane - Part 1,4:14
Last Legend 14: Hemotempest,Prancing Insane - Part 2,3:39
Last Legend 14: Hemotempest,Aloft,2:35
Last Legend 14: Hemotempest,Prancing Insane - Part 3,3:49
Last Legend 14: Hemotempest,Prancing Insane - Part 4,3:18
Last Legend 14: Hemotempest,A Lucky Number of Facial Detectors,2:06
Last Legend 14: Hemotempest,Peril-tech,3:06
Last Legend 14: Hemotempest,While Titans Behold,1:09
Last Legend 14: Hemotempest,Beneath the Gravity,5:15
Last Legend 14: Hemotempest,Termina (Symphonic Version),4:55
Last Legend 14: Hemotempest,A Realm Distantly Deceased,4:23
Last Legend 14: Hemotempest,Fight,3:32
Last Legend 14: Hemotempest,eGress,4:46
Last Legend 14: Hemotempest,Lacking a Cardiac Organ,3:05
Last Legend 14: Hemotempest,From Above,4:37
Last Legend 14: Hemotempest,Closing Melody,1:46
Last Legend 14: Hemotempest,From the Serpent's Trail,3:05
Last Legend 14: Hemotempest,A Very Lethal Gloom,4:44
Last Legend 14: Darkbearers,Darkbearers,6:19
Last Legend 14: Darkbearers,The Origin,2:23
Last Legend 14: Darkbearers,To Flame and Blade,4:37
Last Legend 14: Darkbearers,Voracious,5:00
Last Legend 14: Darkbearers,"Constant, Fleeting",4:20
Last Legend 14: Darkbearers,Upon Our Destiny Descend,4:24
Last Legend 14: Darkbearers,Understanding Slumbers at No Time,4:21
Last Legend 14: Darkbearers,Greatest Disloyalty,4:26
Last Legend 14: Darkbearers,Quadruple Understanding,2:54
Last Legend 14: Darkbearers,Daydreams,4:39
Last Legend 14: Darkbearers,Which Seraph Rouses Me,2:39
Last Legend 14: Darkbearers,Cultures,2:53
Last Legend 14: Darkbearers,Unraveled,4:38
Last Legend 14: Darkbearers,Soon and Soon - Recapitulation,3:24
Last Legend 14: Darkbearers,A Superior Day Soon,3:31
Last Legend 14: Darkbearers,The Shadow that Lightens the Realm,5:09
Last Legend 14: Darkbearers,In the Gut of the Creature,2:54
Last Legend 14: Darkbearers,Madness,3:26
Last Legend 14: Darkbearers,Cryings in the Precipitation,3:32
Last Legend 14: Darkbearers,Complete Discern Pentacle,3:18
Last Legend 14: Darkbearers,Under Shadowed Seas,5:01
Last Legend 14: Darkbearers,Greater than Reality,2:48
Last Legend 14: Darkbearers,Human Moments,4:37
Last Legend 14: Darkbearers,Who Bears Dark,3:59
Last Legend 14: Darkbearers,Imdomitable,4:48
Last Legend 14: Darkbearers,Soon and Soon,4:24
Last Legend 14: Darkbearers,Let's Go Spanish Dance,3:27
Last Legend 14: Darkbearers,Masked Ball,4:49
Last Legend 14: Darkbearers,Extravagance,3:22
Last Legend 14: Darkbearers,Darkness in Addition,3:34
Last Legend 14: Darkbearers,A Lengthy Descent,4:47
Last Legend 14: Darkbearers,Azure Pastures,2:59
Last Legend 14: Darkbearers,Contest,3:12
Last Legend 14: Darkbearers,Push Through,3:48
Last Legend 14: Darkbearers,Suffering in Enjoyment,4:01
Last Legend 14: Darkbearers,Grains of Gold,3:03
Last Legend 14: Darkbearers,Ripped from Above/The Shadowed Giant Obliterates Everything,3:11
Last Legend 14: Darkbearers,Recently Sugar-Coated Pig,4:22
Last Legend 14: Darkbearers,The Dark Loup Hunts Once More,3:45
Last Legend 14: Darkbearers,I Forbid You to Be Fearful (Darkbearers),2:40
Last Legend 14: Darkbearers,The Fabled Creature (Darkbearers),3:28
Last Legend 14: Darkbearers,Precious Recollection,2:07
Last Legend 14: Darkbearers,Commitments to Uphold,5:15
Last Legend 14: Darkbearers,The Ultimate (Darkbearers),3:56
Last Legend 14: Darkbearers,Friend (Darkbearers),4:41
Last Legend 14: Darkbearers,Trudge or Dance (Darkbearers),2:48
Last Legend 14: Darkbearers,Anger of the Oppressor,4:49
Last Legend 14: Darkbearers,Outcast - Last Legend Main theme,4:48
Last Legend 14: Darkbearers,Septenary Fires,4:33
Last Legend 14: Darkbearers,And Affection You Will Discover,5:00
Last Legend 14: Darkbearers,In the Embrace of Conflict,4:06
Last Legend 14: Darkbearers,Always Next to You,2:22
Last Legend 14: Darkbearers,Moony Porpoise (Darkbearers),3:30
Last Legend 14: Darkbearers,Position (Dual Aspected),4:39
Last Legend 14: Darkbearers,Alloy - Savage Righteousness Form (Travels),3:36
Last Legend 14: Darkbearers,Ascend (Travels),3:45
Last Legend 14: Darkbearers,Topological Structure (Symphonic Version),4:06
Last Legend 14: Darkbearers,A Quality Atmosphere Disalloweth,4:12
Last Legend 14: Darkbearers,An Intense Atmosphere Compeleth,4:18
Last Legend 14: Darkbearers,The Majestic Universe,4:34
Last Legend 14: Darkbearers,Burden of the Realm - Preamble,2:36
Last Legend 14: Darkbearers,Flopping in the Deep,4:51
Last Legend 14: Darkbearers,Voracious (Heirs & Transgressors),3:13
Last Legend 14: Darkbearers,The Forest Tribe's Village,4:25
Last Legend 14: Darkbearers,Termina (Heirs & Transgressors),3:44
Last Legend 14: Darkbearers,Ascent of the Snowy Bird (Symphonic Version),3:26
Last Legend 14: Darkbearers,Fireplacebound,4:55
Last Legend 14: Darkbearers,Come Again to Nothingness,5:21
Last Legend 14: Darkbearers,Breeze on the Fields,4:47
Last Legend 14: Darkbearers,Wounds on the Wind,4:59
Last Legend 14: Darkbearers,The Dwarf's Shop,3:24
Last Legend 14: Darkbearers,The Island of Everlasting Warm Days,0:51
Last Legend 14: Darkbearers,The Place All Paths Head,4:32
Last Legend 14: Darkbearers,To the Brink,7:22
Last Legend 14: Darkbearers,Everlasting Breeze (Darkbearers),4:04
Last Legend 14: Doomstrider,Doomstrider - Footsteps,5:48
Last Legend 14: Doomstrider,Ghost's Glee,3:06
Last Legend 14: Doomstrider,Dusk-Illuminated Balconies,5:17
Last Legend 14: Doomstrider,Menacing Spire (Doomstrider),2:58
Last Legend 14: Doomstrider,At Sword's Tip,4:27
Last Legend 14: Doomstrider,Every Drip,3:42
Last Legend 14: Doomstrider,Imperial Locomotive,4:08
Last Legend 14: Doomstrider,Conclusiveness,4:21
Last Legend 14: Doomstrider,A Minor Stride,3:46
Last Legend 14: Doomstrider,Doomherald,5:39
Last Legend 14: Doomstrider,Greetings from the Settlement! (Doomstrider),4:07
Last Legend 14: Doomstrider,The Urn Overfloweth,4:04
Last Legend 14: Doomstrider,Champions Push Onward,4:34
Last Legend 14: Doomstrider,Heavens Unbroken,2:32
Last Legend 14: Doomstrider,Surge as One,4:16
Last Legend 14: Doomstrider,Wonder Labs,5:11
Last Legend 14: Doomstrider,Celestials Bodies Distantly Deceased,3:33
Last Legend 14: Doomstrider,Said Without Ceasing,4:32
Last Legend 14: Doomstrider,The Magical Expanse,4:42
Last Legend 14: Doomstrider,Your Response,5:36
Last Legend 14: Doomstrider,Revelations (Keyed Version),4:23
Last Legend 14: Doomstrider,The Final Shop,3:26
Last Legend 14: Doomstrider,Near in Reach,3:33
Last Legend 14: Doomstrider,Akasa,3:54
Last Legend 14: Doomstrider,Of Innumerable Celestial Bodies,4:56
Last Legend 14: Doomstrider,The Time Will Arrive (Doomstrider),3:31
Last Legend 14: Doomstrider,The Last Moment,3:36
Last Legend 14: Doomstrider,With Wills as One,4:27
Last Legend 14: Doomstrider,Surge,5:24
Last Legend 14: Doomstrider,The Story of the World,4:59
Last Legend 14: Doomstrider,Lively Conversations,4:46
Last Legend 14: Doomstrider,Fragrant Nights,4:35
Last Legend 14: Doomstrider,Roots of Joy,5:09
Last Legend 14: Doomstrider,eGress (Travels),4:12
Last Legend 14: Doomstrider,Paths Seldom Traversed,2:46
Last Legend 14: Doomstrider,The Shell Understandeth,5:46
Last Legend 14: Doomstrider,Here Be Lions,4:34
Last Legend 14: Doomstrider,The Maze,2:24
Last Legend 14: Doomstrider,Undefeated,2:22
Last Legend 14: Doomstrider,Blessing,4:55
Last Legend 14: Doomstrider,Beat of the World,4:16
Last Legend 14: Doomstrider,Committed to Lunar Illumination,5:30
Last Legend 14: Doomstrider,Smithed in Red,3:06
Last Legend 14: Doomstrider,Prohibited Place (Doomstrider),3:53
Last Legend 14: Doomstrider,Under Shadowed Seas (Beat),3:32
Last Legend 14: Doomstrider,From Above (Symphonic Version),4:34
Last Legend 14: Doomstrider,Ripped from Above (Performed Version),4:20
Last Legend 14: Doomstrider,Preamble Demake,1:39
Last Legend 14: Doomstrider,The Earth Anew,1:25
Last Legend 14: Doomstrider,Fluff from Above,2:06
Last Legend 14: Doomstrider,Triumph Demake,0:51
Last Legend 14: Doomstrider,A Brief Time,3:22
Last Legend 14: Doomstrider,The Determined Woman,5:16
Last Legend 14: Doomstrider,Termina's Flawlessness (Doomstrider),4:32
Last Legend 14: Doomstrider,Red Dusk (Travels),5:42
Last Legend 14: Doomstrider,Red Dawn,5:17
Last Legend 14: Doomstrider,Astralgasp,3:23
Last Legend 14: Doomstrider,Abyssforged Hero,3:21
Last Legend 14: Doomstrider,Sadness and Misfortune (Doomstrider),3:06
Last Legend 14: Doomstrider,Monarchy of Ambition (Doomstrider),3:05
Last Legend 14: Doomstrider,Last Legend 4: The Last Fight (Doomstrider),4:17
Last Legend 14: Doomstrider,Crimson Fleet (Doomstrider),2:37
Last Legend 14: Doomstrider,"Oh Talker, Sleep",4:57
Last Legend 14: Doomstrider,"Oh Tracker, Celebrate",4:42
Last Legend 14: Doomstrider,Pixels of Investigation,2:21
Last Legend 14: Doomstrider,Fine Gales to Lead,5:01
Last Legend 14: Doomstrider,Path Unplanned,4:24
Last Legend 14: Doomstrider,Legends of the World,5:12
Last Legend 14: Doomstrider,A Thing among Spectacles,4:30
Last Legend 14: Doomstrider,Holy Journey,3:07
Last Legend 14: Doomstrider,Brightness,5:11
Last Legend 14: Doomstrider,Upon the Scales,4:26
Last Legend 14: Doomstrider,Scripts Since Written (Travels),3:06
Last Legend 14: Doomstrider,The Chart Unveils,4:23
Last Legend 14: Doomstrider,Large Amphibious Mammal Time,3:09
Last Legend 14: Doomstrider,Lovely Earth Mineral Town (Doomstrider),5:11
Last Legend 14: Doomstrider,Last Legend 4: Fight II (Doomstrider),4:34
Last Legend 14: Doomstrider,Fight against the Tetrad Monsters (Earthed Recollections),3:02
Last Legend 14: Doomstrider,To the Star (From Sidereal to Shadowed),7:12
Last Legend 14: Doomstrider,A Peaceful Juncture,4:08
Last Legend 14: Doomstrider,Atoll Utopia,2:08
Last Legend 14: Doomstrider,Underground Haven,3:18
Last Legend 14: Doomstrider,Birthplace of Dreams,3:00
Last Legend 14: Doomstrider,Quiet Yell,4:27
Last Legend 14: Doomstrider,Yell,4:16
